event_id	country_code	state_hash	conflict_factuality_index	epistemic_confidence	time_frame	predicate_type	actor_role	subject_origin	informational_entropy
evt_20260409_7CC2	eu	c344f257c526ca0a47c94a9650bbe0f570b2a5a5a05f7ac1baf8113a01de8537	0.6	0.7	2024-01-01T00:00:00Z	report	corporation	eu	NULL
evt_20260409_7CC2	gb	fd117d1c86f2b33d06702a30ce85f2b64d0d8bde409b2dd30e67ceab376b914d	0.6	0.7	2024-05-03T00:00:00Z	report	corporation	gb	NULL
evt_20260409_7CC2	us	7e2ff29775c9c61da78411d4712d2071bfc92903237b11328215c1ec7a5729a6	0.6	0.8	2024-02-29T00:00:00Z	report	corporation	us	NULL
evt_20260409_7CC2	jp	f82a2be263e8ec9b3f900749c80fadee87a7f0bbd94ec7d0d4296da4ec32d1cb	0.3	0.7	2024-01-01T00:00:00Z	report	corporation	jp	NULL
evt_20260409_AB1E	gb	6e86980d15bce0ec8e966f7500f3f7c7748d832f42486acfe55d2d4be7946a3a	0.6	0.7	2024-05-09T00:00:00Z	report	ngo	gb	NULL
evt_20260409_AB1E	cn	0e93fb5a142533a4c59af5cc874085710d9bd5fe047026145d3c3ffc1c3d29e7	0.6	0.7	2024-05-09T00:00:00Z	report	ngo	cn	NULL
evt_20260409_AB1E	jp	b8744532a66e1029cc290de8b744fbc3d613085ff3c5f4e529d43039669e721a	0.6	0.8	2024-05-09T00:00:00Z	report	ngo	jp	NULL
evt_20260409_F5E6	qa	29ac3e9a3a0910fb8f2e0075e4bf88e86ccdfb0adb0c7b4d2d0703169dcd929a	0.9	0.7	2024-05-03T00:00:00Z	report	corporation	qa	NULL
evt_20260409_F5E6	gb	6fdfec02c01443a138ba8b64a71054a9921077fb4fce8a5bd73125235582fb41	0.1	0.7	2024-05-03T00:00:00Z	report	corporation	gb	NULL
evt_20260409_F5E6	cn	6b163c212e46cd97b2d5bf88feeb1e4d02a2c53003e041b36eb8e56c6fd4e0cf	0.1	0.7	2024-05-03T00:00:00Z	report	corporation	cn	NULL
evt_20260409_F5E6	us	16008adc27a471a30eb97e5e81c9e1767fc9b7312fb59512bcda52540bbaadcc	0.6	0.8	2024-05-03T00:00:00Z	report	corporation	us	NULL
evt_20260409_F5E6	jp	5bbb2727547e2fd1129f72c98f4b463a8e4515fdf9ade35fa40d8b82edbaf35e	0.2	0.7	2024-01-01T00:00:00Z	report	corporation	jp	NULL
evt_20260409_3DCF	qa	5f06aee35e6c6fa66fdc5fc7870b3f0865f653296d4a2ec5ccf618e26636b976	0.6	0.8	2024-05-03T00:00:00Z	report	state	qa	NULL
evt_20260409_3DCF	eu	a846f42cbfdd71c99b43eab7e3b1b1f8ecda275cc28208e4d7056f74d6a31d56	0.4	0.7	2024-01-01T00:00:00Z	report	state	eu	NULL
evt_20260409_3DCF	cn	f4f8bd825297d4379215dd94012502b89db5636849d5e553f8572d428035298d	0.6	0.7	2024-01-01T00:00:00Z	report	state	cn	NULL
evt_20260409_3DCF	us	714f985a07455ffc1cfebc20f643a55b56e3c94fc0c108f28c809a00d4a4e69e	0.6	0.7	2024-01-01T00:00:00Z	report	state	us	NULL
evt_20260409_3DCF	jp	9d4d2386a4a9fa9716eb3fe449647d1e2cb3ed8b0418d215c202fd35dc229b17	0.6	0.7	2024-05-03T00:00:00Z	report	state	jp	NULL
evt_20260403_C4C3	qa	06170cb32c429b01a345dc77259b0db44ab01ac0a920bbf24b71a367adf30af5	0.6	0.7	2024-04-26T00:00:00Z	report	corporation	qa	NULL
evt_20260403_C4C3	gb	926a2fcbcba220c6608376417707cae1304a2096aab64d5350f80e9018f75442	0.6	0.7	2024-04-26T00:00:00Z	report	corporation	gb	NULL
evt_20260403_C4C3	cn	393a04d81aeb39dc2133b2c69d71841a0cc91adfb17ee0e69d88c1ff3730458d	0.6	0.7	2024-04-26T00:00:00Z	report	corporation	cn	NULL
evt_20260403_C4C3	us	10d1cbea82e68c8c844842388392e6b4afdb5913da45a53d4f51f0dd3f531be5	0.6	0.7	2024-04-26T00:00:00Z	report	corporation	us	NULL
evt_20260403_C4C3	jp	a0de793f78ed441f57a84d50645f5254245ef0da1ffeac415f06891b0a2d0014	0.6	0.7	2024-05-02T00:00:00Z	report	corporation	jp	NULL
evt_20260404_3574	qa	4ef76f1001bf515cdf419fd0be3bba51d20094af2bb43237849a09ad4e78b310	0.5	0.7	2024-01-01T00:00:00Z	report	algo	qa	NULL
evt_20260404_3574	eu	124964c8a5790cfdb3939a3d43c38fd435e30e8e8d5ee629c9f64b27ba6ea43e	0.3	0.7	2024-01-01T00:00:00Z	report	algo	eu	NULL
evt_20260404_3574	gb	b49c435da47897e11a61a7fe53b264dd3c5410d719b4af39b1cdc2503c2813f2	0.5	0.7	2024-01-01T00:00:00Z	report	algo	gb	NULL
evt_20260404_3574	cn	276eea051a1d8586b7bd95e195785d53fbc7305ec6faec715ac94af6f02a8ae7	0.5	0.7	2024-01-01T00:00:00Z	report	algo	cn	NULL
evt_20260403_C4C3	eu	976301b8b7b58920f6ea9a16e7a6f617f4f53f129e9568a468259223ef343753	0.6	0.7	2024-01-17T00:00:00Z	report	state	eu	NULL
evt_20260404_F839	qa	4bc6bda0fce11d749ea706379dc237180643a8235d937415c851905416ad2b8f	0.6	0.7	2024-06-20T12:00:00Z	report	state	qa	NULL
evt_20260404_F839	eu	7ce11c8eddb5e863a6723540abeb144f0f1d63c02a7dc0af72bd5085ced1551b	0.6	0.7	2024-06-15T12:00:00Z	escalate	state	eu	NULL
evt_20260404_F839	gb	15de38a8c9caa862add363c152f0d24173ffeede910292d560f20c02c05cb0b0	0.7	0.7	2024-06-15T00:00:00Z	report	state	gb	NULL
evt_20260404_F839	cn	4a68de3b074b8a3b1a547cddf0fdccab4b2241012a1d856fa52a8ef5ebdb5700	0.6	0.7	2024-06-15T00:00:00Z	report	state	cn	NULL
evt_20260404_F839	us	a5ba93ac034adaffb3b565508c9b9ef50139affed3f10bcc5e1a048ebdd66ceb	0.6	0.7	2024-06-21T00:00:00Z	report	state	us	NULL
evt_20260404_F839	jp	91a2291f244089657db18f35b8055a3e3805a8221ac22a7c3f64e9af590a6ea8	0.6	0.7	2024-06-14T00:00:00Z	report	state	jp	NULL
evt_20260403_AC57	eu	5eaa559ac2f246ab8ee9307018acefb1a9d725a388aea322a8a5a633ec295188	0.6	0.7	2024-05-03T00:00:00Z	report	corporation	eu	NULL
evt_20260403_AC57	gb	2a7530746fa43570331ff7e46b9ef3a8d2e64a20091b3e3a397a2f0179192396	0.6	0.7	2024-05-16T00:00:00Z	report	corporation	gb	NULL
evt_20260403_AC57	cn	047db8b4380f257b4f3b0fa8528f36507def7bc6922370aee7044e74a1757fbb	0.6	0.7	2024-05-03T00:00:00Z	report	corporation	cn	NULL
evt_20260403_AC57	us	8b3df2ac2fa376b3429cfa30031a3112d28c485844916e4e0b6266f1df5038f2	0.6	0.7	2024-05-03T00:00:00Z	report	corporation	us	NULL
evt_20260404_3574	us	93560676922c1e594463a3b8bf0fd4cb4538e08868cff5c431fdad4af0cc7268	0.1	0.7	2024-03-14T00:00:00Z	report	corporation	us	NULL
evt_20260404_3574	jp	b9d7769718c61aea6aee1278aa9bbbf38db8938e9ff8790eee555a67690c9292	0.1	0.8	2024-05-16T00:00:00Z	report	corporation	jp	NULL
evt_20260404_60A3	qa	39920dd86ba06e58baeee21c81d1930f874e20e18e83350655db5e970838b56d	0.6	0.8	2024-05-16T00:00:00Z	report	state	qa	NULL
evt_20260404_60A3	eu	a5a0dee3adfd6c93b89b3d773cfeb479bf361f83ac24840077dda3f52793417f	0.6	0.8	2024-05-03T00:00:00Z	report	state	eu	NULL
evt_20260404_60A3	gb	d4df672ec0d51e7db5ed3035195e60c667efb96f9bbe837f60bf61916dd5eecc	0.6	0.8	2024-05-16T00:00:00Z	report	state	gb	NULL
evt_20260404_60A3	cn	1115f86b7d0315a866a1c218abc257853a25c0c10db8910d8c390e4413bc5c03	0.6	0.7	2024-05-07T00:00:00Z	report	state	cn	NULL
evt_20260404_60A3	us	b5ce1ce617299c1355a13fced16428755532f6b98f06bf39221bfa056a4132fe	0.6	0.8	2024-05-03T12:00:00Z	report	state	us	NULL
evt_20260404_60A3	jp	66f510f41d364f5ef899babe0077b69447ea265d55982bb0f449d70575eb23db	0.6	0.7	2024-05-16T00:00:00Z	report	state	jp	NULL
evt_20260404_DF3F	gb	2efecaf795191e2ef3f6138787af48b0ddac4b038401eb55093875da402d67f3	0.3	0.7	2024-01-01T00:00:00Z	report	corporation	gb	NULL
evt_20260404_DF3F	cn	3b15b8d7092c06ea0989807cd7eddd7ff022647f6df71e9205c3ce702a4ed0b9	0.6	0.8	2024-01-01T00:00:00Z	report	corporation	cn	NULL
evt_20260404_DF3F	jp	c4b29b44b149bb03de19b28f2061d93103341c544d42efefa5a6bfff1719ce80	0.6	0.7	2024-01-01T00:00:00Z	report	corporation	jp	NULL
evt_20260409_CBEC	us	a3f1fec99376b521ad5e5828ddd4caf4ab94a92ef73a8f075b24719c564602c8	0.9	0.8	2024-01-01T00:00:00Z	report	state	us	NULL
evt_20260409_CBEC	jp	f068648ed45ddab5b64b46c8b9df4385303bf5675e9ad5114a47c9c13fd78cbf	0.1	0.8	2024-01-26T00:00:00Z	report	state	jp	NULL
evt_20260404_F85D	qa	148796cb876dcc7717d543b0532f66943c813482c15e15924a44e9e26b2e388f	0.7	0.7	2024-05-17T00:00:00Z	report	individual	qa	NULL
evt_20260404_F85D	eu	10dfa641317019654c321ac2907e3720d14a4957b3cdeed56cdb527e22db9f26	0.7	0.7	2024-01-01T00:00:00Z	report	individual	eu	NULL
evt_20260404_F85D	gb	8df844389fe9f1ea2d5694c0ff0463f64273db9aa15f89c110c16275ab58fb19	0.7	0.7	2024-01-01T00:00:00Z	report	individual	gb	NULL
evt_20260404_F85D	cn	902070111a6f88c29a5f3ee9284310edcd32c6da534b88cd41916c688d0f443c	0.5	0.7	2024-05-03T00:00:00Z	report	individual	cn	NULL
evt_20260404_F85D	us	f7b7918c51770c63df6719357e3e4947253c18e2a0bdf7fff88af64ff26db315	0.7	0.7	2024-01-01T00:00:00Z	report	individual	us	NULL
evt_20260404_F85D	jp	551b75352d0c54a8a264bdd13da81a12118a75a2c955c066e5e4c9a7c115563e	0.7	0.7	2024-05-03T00:00:00Z	report	individual	jp	NULL
evt_20260404_48F8	qa	18576d8541c231082ae67c890e986cc14fa8b56eceb6e62b5d32ce30700fd074	0.5	0.7	2024-01-01T00:00:00Z	report	individual	qa	NULL
evt_20260404_48F8	eu	71cf90ce660afe39065bca2540d165642c132ae4081b1217eca0e794dd66c77c	0.7	0.7	2024-01-01T00:00:00Z	report	state	eu	NULL
evt_20260404_48F8	gb	ca8fb8f8ec675dbed289396137d19eb27ada379e0884da127439b80428b4bb7c	0.8	0.7	2024-05-03T00:00:00Z	report	ngo	gb	NULL
evt_20260404_48F8	cn	14dcc7cc3f6759d9eca0c1f2b73cfaf97aac1658a36a9fc485b64999354b1f28	0.6	0.7	2024-01-01T00:00:00Z	report	ngo	cn	NULL
evt_20260404_48F8	us	d851614ddca11a491355cd0d034f8f79991daaacd8a50b6103cc210d2956edb8	0.8	0.7	2024-01-01T00:00:00Z	accuse	ngo	us	NULL
evt_20260404_48F8	jp	78f4a5b680bfea60049f80724f6b5c1310bd049a2b77ee72c11cb21100040557	0.7	0.7	2024-05-03T00:00:00Z	report	state	jp	NULL
evt_20260404_44E4	qa	daf8a9f843e91d661a07a1ce9ee4b7cdec05a29520657a7ccbaac0d09e71b7e0	0.7	0.8	2024-05-16T00:00:00Z	report	state	qa	NULL
evt_20260404_44E4	eu	3377669ce49e7a8413b1ecdc89056834789026fb7f97b1476191bb6d3203aefa	0.6	0.8	2024-05-03T00:00:00Z	accuse	state	eu	NULL
evt_20260404_44E4	cn	1a9ddd858366fbc74307a641ed66678d168e39b326a00d59cc7dfd0ab1b8f93e	0.6	0.8	2024-05-03T00:00:00Z	report	state	cn	NULL
evt_20260404_44E4	us	167c35de8924fdefcc98d16119bc8543a6d3fba27855d5c4d3b59e639ab95b92	0.7	0.8	2024-05-03T00:00:00Z	accuse	state	us	NULL
evt_20260404_44E4	jp	2c64e33a3d3716220987e5520a9c3f1f76dfc503d12929d93e3f86efd4c7b3ee	0.7	0.8	2024-01-01T00:00:00Z	report	state	jp	NULL
evt_20260403_0A60	qa	b11807d8f243e6f891adf707b42a5f3f3d70acd9f65bec85c54a49460c50c6a7	0.1	0.7	2024-05-03T00:00:00Z	report	corporation	qa	NULL
evt_20260403_0A60	eu	2483c15a6e742acc1f170f8a6212446120ba6562c34c1d464b77320a7c0891b8	0.2	0.7	2024-05-03T00:00:00Z	report	corporation	eu	NULL
evt_20260403_0A60	gb	4119da543ce0785664a513698a201e8b25d81f9d708692a6fddf97b9c88a6cc3	0.1	0.7	2024-05-03T00:00:00Z	report	corporation	gb	NULL
evt_20260403_0A60	cn	88e87dcf8996f8f85c53212882e972490ca94372028aa141e5bf5f6b191841e4	0.3	0.8	2024-05-03T00:00:00Z	report	corporation	cn	NULL
evt_20260403_0A60	us	35f297b6f08b457951ad581d429e4148aa4abf1ce242d6d32c9fbf0915781b7d	0.6	0.7	2024-03-26T00:00:00Z	report	corporation	us	NULL
evt_20260403_0A60	jp	6cb41dabfff3f391e4cd654507806d0727868680be3ea8875cf9793899e98006	0.1	0.8	2024-05-03T00:00:00Z	report	corporation	jp	NULL
evt_20260404_0AA8	qa	0f8a352388a556a573e2032d257aecfa036b6b183f2c7bb521425b0b78049acc	0.6	0.7	2024-05-02T00:00:00Z	report	state	qa	NULL
evt_20260404_0AA8	eu	e9bc3590f34269c4b1a4d10c84089bcdb44e966d0130c7093940237854ef5bc6	0.2	0.7	2024-05-02T00:00:00Z	report	state	eu	NULL
evt_20260404_0AA8	gb	df1137391624a54736afdf7efe67f445804fe97c880b4bca4f7e5c5d35195020	0.6	0.7	2024-05-02T00:00:00Z	report	state	gb	NULL
evt_20260404_0AA8	cn	43ba9f94906a2476012b16aa1cbd31ffc92c978983c8b4c83b010975bfc7db56	0.9	0.7	2024-05-02T00:00:00Z	report	state	cn	NULL
evt_20260404_0AA8	us	57874bcc6d6816f5c077f4c83c1e65edc36d726c12a9c5a1e8dd3176973f442a	0.9	0.7	2024-05-09T00:00:00Z	report	state	us	NULL
evt_20260404_0AA8	jp	b92f5314855a5364dd22812bcc2ca29470181b8c995044d31f3243d854654d0b	0.1	0.7	2024-05-02T00:00:00Z	report	state	jp	NULL
evt_20260404_E3CC	qa	e72b6b48874b09229e052ca861f4fbb682eb6ddd91e47059f907e82b9d4518c6	0.1	0.7	2024-07-02T00:00:00Z	report	corporation	qa	NULL
evt_20260404_E3CC	eu	e97abc928451da5d7f7b7a3af7fdf340eb0043ae2d40b9fdf073986fa5b8a774	0.5	0.7	2024-01-01T00:00:00Z	report	corporation	eu	NULL
evt_20260404_E3CC	gb	47ec1ff5294124ef82cb6fbf09d68bc61ec4ff49ec4d27d2237f16fb2b82f41f	0.1	0.7	2024-07-02T00:00:00Z	report	corporation	gb	NULL
evt_20260404_E3CC	us	f19c7ddece59687244ed7b3e98cfd4e1f276f9b65c1a570c6d788a923c276b18	0.4	0.7	2024-07-03T00:00:00Z	report	corporation	us	NULL
evt_20260403_922F	qa	db153ad7f477d924a74527ba9998ef97452ab06681233b921b863e6c033a9b3c	0.6	0.7	2024-01-27T00:00:00Z	report	algo	qa	NULL
evt_20260403_922F	gb	921ff66d4983f20b115b5b67b2b6563e4ff67678a4a010734dbcf2139f7d049c	0.6	0.7	2024-05-03T00:00:00Z	report	media	gb	NULL
evt_20260403_922F	cn	15638cb733471ffba5818a501fc53e79c54b1a9015bf8d04a436bc2f1a0b91a5	0.6	0.7	2024-05-03T00:00:00Z	report	state	cn	NULL
evt_20260403_922F	us	bc61ce7d6482a523449f940f9bcec516975dc7d90420d823efecc8b709bd7e8b	0.6	0.7	2024-01-24T00:00:00Z	report	media	us	NULL
evt_20260403_922F	jp	7065b8bd1e826539f65d65df7d17ae72e071f33a6d8079bf1cbfed44d83f3362	0.6	0.7	2024-01-26T00:00:00Z	report	media	jp	NULL
evt_20260403_3809	eu	d2f78ec01ad67eb8f9040aec325887c34dda859b84018ec4de95e92fb37fd4aa	0.6	0.7	2024-01-01T00:00:00Z	report	corporation	eu	NULL
evt_20260403_3809	gb	5f869d3918fe23184aa807f3e590b356fb10a02f16c39a5bd7004d885a9ba19a	0.6	0.7	2024-05-03T00:00:00Z	report	corporation	gb	NULL
evt_20260403_3809	cn	f9bf66373dd6d402fe61153b650179f058e143c8b5706913320d2223a4ebdff4	0.6	0.7	2024-05-03T00:00:00Z	report	corporation	cn	NULL
evt_20260403_3809	us	1e2277ef3b8b681871b8949b94822ea4ea62dac72f5a96f01684ceb0f000edbb	0.9	0.7	2024-05-03T00:00:00Z	report	corporation	us	NULL
evt_20260409_82CC	qa	240a8f73cf9fb2991368034e8ff85ed83a3a15e4de9594a52541a1d79d2ac62e	0.1	0.7	2024-01-01T00:00:00Z	report	media	qa	NULL
evt_20260409_82CC	eu	b188b618b1f544cf3f5c018ba331f68a298f3f52cdaabc94b14264b3b567a334	0.1	0.7	2024-01-01T00:00:00Z	report	media	eu	NULL
evt_20260409_82CC	gb	14e1152cca28bbe64ecc80ecc55dd4f094f5be844787f1c462308a6601a4f60a	0.1	0.7	2024-05-03T00:00:00Z	report	media	gb	NULL
evt_20260409_82CC	cn	b7ee23f0b4fb37e03e71d6a0c02ece39bbf0e18abd2f10821a25502e3dddf912	0.1	0.7	2024-05-03T00:00:00Z	report	corporation	cn	NULL
evt_20260403_168C	qa	b1656e99d4fa5c9d5c287b1108f2db5be7763a52c27259f296f8d0e075172b88	0.6	0.7	2024-03-26T00:00:00Z	report	state	qa	NULL
evt_20260403_168C	eu	2edb1ed49e49962fc91710b34516138a92e4a09bfedaac55df6a3056c6463c4e	0.6	0.7	2024-03-26T00:00:00Z	report	state	eu	NULL
evt_20260403_168C	gb	a1e2462c5f0f102e32029cd931f065c315a3d774386434ca5f3c7df49bc98979	0.4	0.7	2024-03-20T00:00:00Z	escalate	state	gb	NULL
evt_20260403_168C	cn	211d1badd914c31dc903cab56aecd51c44ecf21cc940660de5d94d4969dc599f	0.7	0.7	2024-04-25T12:00:00Z	report	state	cn	NULL
